Core ,Depth [cm],Age [ka],Time Interval,Benthic Foraminifera Interval,Fisher Alpha Index,Infaunals[%],Epibenthic[%],Trophic Conditions,Calcareous[%],Porcellaneous[%],Agglutinated[%],Stress Species[%],Oxic species [%],Suboxic species[%],Dysoxic species [%],Ehanced Benthic Foraminifera Oxygen Index,Inferred Dissolve Oxygen Concentration [mL/L],Oxygen Conditions,Mean d13C [o/oo],d18O sw [permil],Average Age [kyrs] Dd13C,Dd13C (9512-29JPC),Average Age [kyrs] BFDR,BFDR,Cibicidoides pachyderma,Planulina arimenensis,Cibicidoides robertsonianus,Lobatula lobatula,Bolivina cff. spathulata ,Uvigerina peregrina,Oridorsalis umbonatus,Nonionella turgida/pulchella,Bolivina subaenariensis var. mexicana,Uvigerina mediterranea,Melonis barleeanus ,Pullenia bulloides / quinqueloba,Cassidulina teretis/laevigata,Quinqueloculina spp.,Triloculina spp.,Pyrgo spp.,Pyrgoella sphaera,Cibicidoides spp.
GeoB9512-5,267.5,15.71,Bølling–Allerød,4c,13.7,64.7,35.3,Mesotrophic,79.3,20.3,0.4,53.9,31.8,45.3,22.9,44.2,3.2,High Oxic,0,0.73,,,15.68,7.14,2.1,6.2,5.4,0.4,0,1.2,5,18.3,9.1,1.2,0.4,0.4,2.1,5,7.1,2.1,0,14.10788382
GeoB9512-5,272.5,15.79,Heinrich Stadial 1c,4b,9.9,68.3,31.7,Eutrophic,84,16,0,59.7,29.1,32.7,38.2,32.9,2.7,Low Oxic,0.19,,15.8,-0.64,15.75,47.5,1.2,6.6,5.8,1.2,0.4,0,6.2,11.9,20.6,0,0,0,3.3,6.6,2.5,4.1,0,14.81481481
GeoB9512-5,277.5,15.89,Heinrich Stadial 1c,4b,8.2,79.8,20.2,Eutrophic,90.8,9.2,0,69.7,16.2,29.9,53.9,9.9,1.8,Low Oxic,0.39,,,,15.84,17,2.1,4.2,2.5,1.3,0.4,0.8,5,6.7,38.2,0,0,0,3.4,2.9,0.8,4.2,0,10.08403361
GeoB9512-5,282.5,15.98,Heinrich Stadial 1c,4b,8.1,84.9,15.1,Eutrophic,90.5,9.1,0.4,77,13,32.1,54.9,6,1.7,Low Oxic,0.43,,16,-0.52,15.94,1.11,2,3.2,0.8,0,0,0.8,4,16.7,42.1,0,0,0,1.6,0.8,0,6.3,0,5.952380952
GeoB9512-5,287.5,16.08,Heinrich Stadial 1c,4b,9.8,78.7,21.3,Eutrophic,92.8,6.8,0.4,66.7,19.9,39.8,40.3,21.9,2.3,Low Oxic,0.33,0.54,,,16.03,-17,8.4,3.2,2.4,0,0.4,0,6.4,14.1,24.9,0.8,0.8,0.4,4,1.2,0.8,4.4,0,14.0562249
GeoB9512-5,292.5,16.18,Heinrich Stadial 1c,4b,8.5,77.3,22.7,Eutrophic,86.6,13.4,0,71.7,20.4,39.6,40,23.2,2.3,Low Oxic,0.21,,16.19,-0.84,16.13,13,2.4,2.8,2.8,0,0.8,0,3.2,23.9,30.4,0.8,1.2,0,1.2,1.2,0,11.7,0,8.097165992
GeoB9512-5,297.5,16.27,Heinrich Stadial 1c,4b,11,71.9,28.2,Eutrophic,83.9,15,1.1,62.3,25.9,42.3,31.9,33.7,2.8,Low Oxic,0.2,0.82,,,16.23,-27.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.81
GeoB9512-5,302.5,16.36,Heinrich Stadial 1c,4a,13.5,66.4,33.6,Eutrophic,81.2,16.6,2.2,52.8,31.4,44.9,23.7,44.1,3.2,High Oxic,0.3,0.69,,,16.32,-27.78,9.2,2.2,1.7,0.4,2.6,0,7.9,7.9,8.7,2.2,2.2,0,8.7,10,1.7,3.1,0,13.5371179
GeoB9512-5,307.5,16.44,Heinrich Stadial 1c,4a,14.6,62.2,37.8,Mesotrophic,82.4,16.1,1.5,51.3,33.8,45.4,20.9,49.8,3.4,High Oxic,0.38,0.57,16.43,-0.76,16.4,-13.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.23
GeoB9512-5,312.5,16.52,Heinrich Stadial 1c,4a,15.7,58,42,Mesotrophic,83.5,15.6,0.8,49.8,36.1,45.8,18.1,55.4,3.6,High Oxic,0.38,0.51,,,16.48,-13.75,10.7,4.1,4.1,0,2.9,1.6,4.1,4.5,0.8,4.5,6.6,0.4,10.7,5.3,2.9,4.5,0.4,18.93004115
GeoB9512-5,317.5,16.59,Heinrich Stadial 1b,4a,15.4,56.2,43.9,Mesotrophic,82.2,16.5,1.3,48.5,37.1,46.7,16.2,61.3,3.9,High Oxic,0.35,0.49,,,16.56,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.39
GeoB9512-5,322.5,16.67,Heinrich Stadial 1b,4a,15.1,54.3,45.7,Mesotrophic,80.9,17.4,1.8,47.2,38.1,47.6,14.3,67.2,4.2,High Oxic,0.34,0.5,16.66,-0.85,16.63,3.75,11.7,4.3,2.8,1.1,7.1,1.4,3.2,1.1,0,6,8.2,0.7,11.7,7.8,3.9,5,2.1,19.85815603
