Age [yr BP],NGRIP Depth [m],NGRIP d18O [o/oo]
19280,1709.72,-41.23
19300,1710.14,-42.72
19320,1710.58,-40.42
19340,1711.04,-41.28
19360,1711.47,-41.68
19380,1711.88,-41.75
19400,1712.33,-42.86
19420,1712.79,-43.07
19440,1713.29,-42.36
19460,1713.72,-40.85
19480,1714.18,-41.35
19500,1714.61,-42.17
19520,1715.1,-41.37
19540,1715.54,-42.65
19560,1716.03,-40.93
19580,1716.53,-42.56
19600,1716.99,-40.46
19620,1717.4,-40.83
19640,1717.83,-40.89
19660,1718.29,-41.84
19680,1718.67,-39.93
19700,1719.11,-41.5
19720,1719.51,-42.05
19740,1719.89,-41.43
19760,1720.28,-41.4
19780,1720.73,-41.63
19800,1721.17,-42.8
19820,1721.64,-43.02
19840,1722.09,-41.4
19860,1722.54,-40.22
19880,1723.03,-40.69
19900,1723.44,-41.43
19920,1723.9,-40.66
19940,1724.34,-41.6
19960,1724.81,-42.62
19980,1725.24,-42.14
20000,1725.63,-42.66
20020,1726.07,-41.97
20040,1726.48,-41.69
20060,1726.96,-42.76
20080,1727.42,-42.71
20100,1727.81,-41.33
20120,1728.24,-42.68
20140,1728.67,-42.01
20160,1729.12,-42.6
20180,1729.56,-42.19
20200,1730.04,-42.79
20220,1730.55,-40.37
20240,1731,-41.4
20260,1731.47,-42.46
20280,1731.96,-42.54
20300,1732.41,-41.92
20320,1732.92,-42.38
20340,1733.32,-43.13
20360,1733.76,-41.86
20380,1734.14,-43.12
20400,1734.57,-44.51
20420,1735.04,-42.45
20440,1735.43,-43.21
20460,1735.82,-43.52
20480,1736.26,-42.04
20500,1736.75,-41.92
20520,1737.16,-43.2
20540,1737.61,-43.36
20560,1738.09,-44.97
20580,1738.51,-42.52
20600,1738.97,-42.06
20620,1739.44,-41.89
20640,1739.86,-42.42
20660,1740.31,-40.62
20680,1740.77,-40.09
20700,1741.14,-43.6
20720,1741.54,-42.12
20740,1741.97,-39.93
20760,1742.43,-42.75
20780,1742.87,-42.39
20800,1743.32,-42.98
20820,1743.7,-40.72
20840,1744.13,-43.35
20860,1744.54,-42.55
20880,1744.94,-42.08
20900,1745.31,-43.27
20920,1745.74,-42.27
20940,1746.13,-43.93
20960,1746.52,-42.95
20980,1746.92,-43.09
21000,1747.3,-44.85
21020,1747.68,-43.5
21040,1748.07,-42.52
21060,1748.43,-42.26
21080,1748.81,-43.68
21100,1749.18,-43.31
21120,1749.54,-42.63
21140,1749.92,-41.83
21160,1750.29,-42.08
21180,1750.69,-41.92
21200,1751.11,-43.89
21220,1751.5,-42.88
21240,1751.91,-43.91
21260,1752.32,-42.58
21280,1752.71,-42.68
21300,1753.09,-41.02
21320,1753.45,-41.96
21340,1753.85,-42.42
21360,1754.28,-43.83
21380,1754.64,-42.06
21400,1755,-42.52
21420,1755.37,-43.75
21440,1755.75,-41.22
21460,1756.14,-42.34
21480,1756.55,-43.06
21500,1756.9,-44.58
21520,1757.26,-41.88
21540,1757.68,-42.04
21560,1758.04,-42.86
21580,1758.4,-42.1
21600,1758.76,-41.02
21620,1759.18,-42.87
21640,1759.55,-41.93
21660,1759.91,-43.4
21680,1760.26,-42.04
21700,1760.62,-41.6
21720,1761.02,-44.16
21740,1761.43,-43.94
21760,1761.8,-42.49
21780,1762.17,-43.68
21800,1762.53,-43.51
21820,1762.91,-43.1
